Data Analisi;Gran Grup;Llista_Pre;Intervencions_Pre;Derivades_Pre;En llista;Intervencions;IQs derivades i realitzades a UP desti;En baixa temporal;IQs en baixa temporal;Intervencions fora termini;n;Sortides;Dies en llista;Dies en llista (sense BT);ED0-25;ED100+;ED26-50;ED51-75;ED76-100;EE0-25;EE100+;EE26-50;EE51-75;EE76-100
01/05/2017;4;510;77;942;510;77;942;66;68;15;3391;86;840128;808115;4;0;0;0;0;7;0;6;2;0
01/05/2017;5;4979;644;1527;4979;644;1527;140;140;77;19123;772;4127459;4044358;395;295;255;149;61;19;23;18;9;8
01/06/2017;1;64;65;30;64;65;30;53;53;12;2270;68;109339;95482;0;0;0;0;0;7;0;4;2;1
01/06/2017;2;16;16;1;16;16;1;24;24;4;358;17;21385;16569;0;0;0;0;0;4;0;0;0;0
01/06/2017;3;13;11;0;13;11;0;0;0;0;228;13;7334;7270;0;0;0;0;0;0;0;0;0;0
01/06/2017;4;411;67;901;411;67;901;87;104;4;4036;72;902297;859244;0;0;0;0;0;3;0;1;0;0
01/06/2017;5;4456;616;1223;4456;616;1223;321;322;73;23134;730;4469904;4355735;388;247;231;152;68;18;25;13;10;7
01/07/2017;1;116;64;41;116;64;41;11;11;9;1825;68;97842;85561;7;0;5;4;2;7;0;1;1;1
01/07/2017;2;19;13;1;19;13;1;17;17;3;299;13;18421;13505;1;0;0;0;0;1;0;2;0;0
01/07/2017;3;12;8;0;12;8;0;0;0;0;204;8;7048;7008;0;0;0;0;0;0;0;0;0;0
01/07/2017;4;439;56;1061;439;56;1061;53;61;1;3670;61;878478;842663;3;0;0;0;0;1;0;0;0;0
01/07/2017;5;4722;401;1597;4722;401;1597;206;207;39;20718;466;4432520;4335415;399;247;298;167;95;7;22;4;5;1
01/08/2017;1;85;69;41;85;69;41;61;61;13;1918;73;102102;88626;3;1;6;0;1;8;1;5;1;1
01/08/2017;2;15;14;1;15;14;1;20;20;4;313;14;19559;14102;1;0;1;1;0;2;0;2;0;0
01/08/2017;3;12;4;0;12;4;0;0;0;0;208;4;7370;7330;0;0;0;0;0;0;0;0;0;0
01/08/2017;4;447;14;1110;447;14;1110;62;70;2;3715;19;896199;858638;0;0;0;0;0;1;0;1;0;0
01/08/2017;5;4796;288;1600;4796;288;1600;180;181;28;21214;360;4588063;4484856;343;240;340;209;115;4;17;1;2;4
01/09/2017;1;91;49;41;91;49;41;58;58;16;1984;61;106533;91230;4;2;2;0;1;8;0;3;8;0
01/09/2017;2;18;10;1;18;10;1;14;14;4;323;13;20530;14626;3;0;0;0;0;2;0;1;0;1
01/09/2017;3;14;6;0;14;6;0;1;1;0;217;6;7776;7657;1;0;0;0;0;0;0;0;0;0
01/09/2017;4;443;37;1150;443;37;1150;46;54;3;3858;47;913399;874577;0;0;0;0;0;3;0;0;0;0
01/09/2017;5;4864;352;1646;4864;352;1646;125;126;39;21899;481;4736240;4628736;321;229;366;223;140;12;20;4;1;2
01/10/2017;1;75;93;41;75;93;41;75;75;25;2092;100;111552;94590;4;2;0;0;2;16;3;6;3;2
01/10/2017;2;17;11;1;17;11;1;21;21;2;342;12;21803;15441;1;0;0;0;0;0;0;0;1;1
01/10/2017;3;14;14;0;14;14;0;1;1;2;231;14;8289;8132;0;0;0;0;0;2;0;0;0;0
01/10/2017;4;506;65;1214;506;65;1214;54;63;5;4021;73;933530;893434;0;0;2;0;0;4;0;1;0;0
01/10/2017;5;4989;420;1691;4989;420;1691;124;127;46;22726;537;4891835;4780193;299;236;353;274;147;11;13;9;7;6
01/11/2017;1;60;95;41;60;95;41;59;59;17;2173;104;115766;96948;2;1;0;0;1;9;2;6;3;1
01/11/2017;2;16;16;1;16;16;1;18;18;5;356;18;22863;15851;1;0;0;0;0;2;0;1;2;0
01/11/2017;3;21;9;0;21;9;0;1;1;0;247;9;8778;8591;1;0;0;0;0;0;0;0;0;0
01/11/2017;4;483;71;1247;483;71;1247;41;65;6;4160;84;950362;908798;0;0;0;0;0;5;0;1;0;0
01/11/2017;5;4889;476;1707;4889;476;1707;136;140;82;23554;625;5042023;4926341;384;209;281;294;156;21;25;9;6;21
01/12/2017;1;40;52;41;40;52;41;58;58;7;2217;60;119312;98962;0;2;1;1;1;6;0;3;2;0
01/12/2017;2;17;11;1;17;11;1;18;18;3;369;11;24002;16396;0;0;0;0;0;2;0;0;1;0
01/12/2017;3;19;8;0;19;8;0;2;2;1;256;9;9433;9186;0;0;0;0;0;1;0;0;0;0
01/12/2017;4;513;42;1252;513;42;1252;38;61;6;4235;46;967164;924583;2;0;0;0;0;6;0;0;0;0
01/12/2017;5;5046;275;1707;5046;275;1707;144;148;40;24152;363;5198357;5077659;382;228;268;306;183;15;12;3;4;6
01/01/2018;1;73;65;41;73;65;41;22;22;10;2215;68;119352;98684;5;2;1;0;0;6;3;6;2;1
01/01/2018;2;16;16;1;16;16;1;12;12;1;373;17;24599;16639;0;0;0;0;0;1;0;0;0;0
01/01/2018;3;11;12;0;11;12;0;2;2;1;259;16;9972;9683;0;0;0;0;0;1;0;0;0;0
01/01/2018;4;433;50;1293;433;50;1293;42;61;7;4284;59;976270;933174;12;0;1;0;0;7;0;0;0;0
01/01/2018;5;5176;443;1764;5176;443;1764;94;97;42;24374;546;5290843;5170960;390;251;243;311;208;15;5;3;5;14
01/02/2018;1;87;54;41;87;54;41;25;26;6;2205;56;119356;97886;2;2;0;1;0;6;0;3;0;0
01/02/2018;2;21;13;1;21;13;1;8;9;1;367;14;23767;15545;0;0;0;0;0;1;0;0;0;0
01/02/2018;3;8;11;0;8;11;0;1;1;1;260;11;10203;9889;0;0;0;0;0;1;0;0;0;0
01/02/2018;4;469;75;1338;469;75;1338;39;56;4;4350;84;982378;938618;5;0;1;0;0;4;0;0;0;0
01/02/2018;5;5290;490;1800;5290;490;1800;131;137;41;24517;613;5347493;5227037;381;293;316;258;230;15;5;5;7;9
01/03/2018;1;101;73;42;101;73;42;13;13;7;2197;82;119542;97166;1;2;0;1;0;7;0;1;0;0
01/03/2018;2;25;14;2;25;14;2;4;4;0;373;16;23947;15630;0;0;0;0;0;0;0;0;0;0
01/03/2018;3;8;12;0;8;12;0;1;1;0;265;12;10294;9967;0;0;0;0;0;0;0;0;0;0
01/03/2018;4;325;63;1394;325;63;1394;52;66;5;4354;72;981926;936887;2;0;1;0;0;5;0;0;0;0
01/03/2018;5;4937;525;1882;4937;525;1882;142;158;37;24749;657;5412956;5291608;448;312;305;215;227;14;2;5;3;13
01/04/2018;1;96;60;42;96;60;42;15;15;8;2174;69;118417;95819;2;1;0;0;0;6;0;3;1;0
01/04/2018;2;27;11;2;27;11;2;6;6;3;370;12;23877;15466;0;0;0;0;0;3;0;0;0;0
01/04/2018;3;10;13;0;10;13;0;1;1;0;272;13;10393;10036;0;0;0;0;0;0;0;0;0;0
01/04/2018;4;319;72;1614;319;72;1614;52;64;6;4360;83;985104;940665;0;0;1;0;0;5;0;1;0;0
01/04/2018;5;4680;508;2400;4680;508;2400;283;296;45;24743;662;5441756;5318632;434;300;278;180;213;19;6;5;8;7
01/05/2018;1;111;73;43;111;73;43;7;7;11;2155;80;117736;94760;0;1;1;1;0;9;0;8;0;0
01/05/2018;2;28;9;2;28;9;2;5;5;1;364;11;23693;15339;0;0;0;0;0;1;0;0;0;0
01/05/2018;3;14;12;0;14;12;0;3;3;0;283;12;10685;10260;0;0;0;0;0;0;0;0;0;0
01/05/2018;4;256;87;1666;256;87;1666;44;57;4;4375;99;985372;939709;0;0;1;0;0;4;0;0;0;0
01/05/2018;5;4613;538;2622;4613;538;2622;212;223;65;24928;676;5478849;5353341;409;337;274;228;164;22;15;6;10;12
01/06/2018;1;98;81;45;98;81;45;12;12;6;2126;89;116776;93001;1;1;1;2;1;8;0;0;0;0
01/06/2018;2;25;13;2;25;13;2;1;1;1;360;15;23740;15272;0;0;0;0;0;1;0;0;0;0
01/06/2018;3;15;11;0;15;11;0;3;3;0;289;14;10944;10429;0;0;0;0;0;0;0;0;0;0
01/06/2018;4;280;90;1721;280;90;1721;40;49;7;4363;93;979902;933516;1;2;2;0;0;7;0;0;0;0
01/06/2018;5;4713;474;2907;4713;474;2907;203;217;50;25020;582;5522349;5396009;358;360;316;222;161;21;7;13;2;7
01/07/2018;1;79;78;46;79;78;46;17;17;6;2110;86;117167;92610;3;1;0;0;2;7;1;0;0;0
01/07/2018;2;19;19;2;19;19;2;3;3;3;366;22;23933;15328;0;0;0;0;0;3;0;0;0;0
01/07/2018;3;13;11;0;13;11;0;4;4;0;298;14;11432;10828;0;0;0;0;0;0;0;0;0;0
